Model,MSE,MAE,SMAPE
Informer,0.00036726330290548503,0.013835965655744076,5.015585
Autoformer,0.0003843217564281076,0.014076248742640018,5.021801
PatchTST,0.0024318001233041286,0.03848673403263092,13.324992
